longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"Eagle Nest District, Pine Ridge Reservation, USA",0.0,0.0,43.26345644527994,0.5347322720694645,5.491430153248487,0.0,125.24872859787763,0.0,135.31646993629164
"Heipa District, Lake Traverse Reservation and Off-Reservation Trust Land, USA",0.0,0.03056768558951965,26.60835893046331,0.0,20.90829339854815,0.0,99.82541354673545,0.0,150.2299708296863
"Enemy Swim District, Lake Traverse Reservation and Off-Reservation Trust Land, USA",0.001476458872043224,0.0052122114668652275,22.92830439468162,0.2524199553239017,7.108994991123612,0.16306775874906926,47.7144924373663,0.0,189.11896136619313
"Dennehotso Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,75.63552464231755,0.2992537313432836,7.819301729039485,0.0,227.20136856781536,0.0,123.16858107530565
"Tselani Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,26.13476230310968,0.2108027006751688,6.743727328217459,0.0,192.94102112093913,0.0,130.82987432203754
"Whippoorwill Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,37.933417205680826,0.0,15.123906291430742,0.0,172.87026776056987,0.0,149.04535950854589
"Parshall Segment, Fort Berthold Reservation, USA",0.0,0.0,44.6617902398979,0.727760736196319,2.9942486652653333,0.0,72.14510440910055,0.0,419.4195766318992
"Naschitti Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,46.572217525360074,0.24289008455034589,4.766502017513044,0.0,220.58727357954552,0.0,50.38178901669357
"Iyanbito Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,22.482244612840056,0.0,7.57561519429652,0.0,177.8566935782253,0.0,14.25773723380039
"Bushyhead, Cherokee OTSA, USA",0.0,0.0,16.973094627711365,0.016253869969040248,3.638861371773129,0.0,43.86090416699699,0.0,31.975411367909008
"Houck Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,47.20625992541239,0.0452418096723869,9.264335235317024,0.0,219.2428006001994,0.0,80.2219486280216
"Round Rock Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,42.955520556020744,0.2581903276131045,5.640949444020717,0.0,247.49648191895866,0.0,125.55422511503085
"Toreva District, Hopi Reservation and Off-Reservation Trust Land, USA",0.0,0.9274570982839313,8.486976904591106,0.0686427457098284,3.54962164608371,0.0,128.93199878587578,0.0,183.02956408854422
"District 1, Gila River Indian Reservation, USA",0.0,0.5293197810789679,10.377494154820457,0.3924941360437842,2.48960860524042,0.1524628616106333,31.429647110412187,0.0,31.278735766434714
"Nazlini Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,21.89146287977813,0.08874801901743265,7.64620589345848,0.0,217.51630673711793,0.0,93.74416669209612
"Mexican Springs Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,22.97236243018981,0.0,8.376403086895127,0.0,216.30595520630763,0.0,32.79196307433741
"White Cone Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,39.575426953437486,0.020933977455716585,7.793979996732537,0.0,149.49962320297678,0.0,145.78801556557653
"District B, Salt River Reservation, USA",3.290063208940478e-05,1.0,7.29521734902585,0.7658022690437601,1.4378412754583516,1.0,17.028653907757693,1.0,7.37135613604844
"Cleora, Cherokee OTSA, USA",0.0,0.0,16.214506701795592,0.01721311475409836,4.45516814333824,0.0,64.37836364353268,0.0,43.4824954191683
"Jeddito Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,28.059903930077642,0.29194078947368424,6.326306533927565,0.0,156.71024828817482,0.0,146.69748385911797
"Hays District, Fort Belknap Reservation and Off-Reservation Trust Land, USA",0.0,0.0,52.91050825211739,0.21184320266889073,4.3651685268995175,0.0,121.94940515436691,0.0,178.71315578651436
"Pinedale Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,26.430964483574908,0.0,11.69066460869196,0.0,178.71398526305634,0.9080267558528428,6.530896202034661
"Rock Point Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,60.99147347650494,0.21610169491525424,6.115795672770176,0.0,240.1866994030808,0.0,130.30029146405425
"Red Valley Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,38.11977502474859,0.1556122448979592,8.324443068725726,0.0,233.88221955131377,0.0,84.88251474144685
"St. Michael District, Spirit Lake Reservation, USA",0.0,0.055272108843537414,14.916307418863408,0.0,10.908695051736245,0.0,118.14519097212849,0.0,292.6926617574503
"District 1, Cheyenne River Reservation and Off-Reservation Trust Land, USA",0.0,0.0,35.9039780178025,0.4469178082191781,11.852658680931812,0.0,134.74158161920613,0.0,163.95820659729986
"Steamboat Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,24.57495975270543,0.0,15.488478975426277,0.0,183.30396430199852,0.0,118.36842965668752
