longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"TN-SD030, USA",2197.52385808957,1673.9844330194808,1181.9640540543155,985.8536080306219
"TN-SD031, USA",1774.387085766415,1106.7477383107298,808.6624689487264,754.8034584279972
"TN-SD033, USA",2460.995597176693,1888.6162185693952,1419.7445627798947,1191.8006991172053
"TN-SD029, USA",1983.504841000188,1377.2965552770843,881.7861581633357,738.1678448065549
"TN-SD032, USA",1442.8277148088694,854.2938500035339,562.5686295388188,500.3094268806426
"NC-SD044, USA",894.7748074533118,352.1050109221142,194.6499000471794,154.3791270608935
"NC-SD009, USA",782.8750523586745,263.03462282345,87.48602092381581,59.223176866566234
"NC-SD024, USA",1072.9379544454441,421.81807787258447,181.17929332458553,133.79452910209065
"NC-SD022, USA",2569.533653538005,1367.221624391146,939.0180578398166,822.8664613652294
"NC-SD049, USA",1925.0396798983659,852.8475826958044,516.68787532979,431.8682460627222
"NC-SD012, USA",1817.9678879328756,618.2849428383165,212.91541593234805,164.0548145182898
