longname,LICO-AT %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Coaticook CRM, Quebec, Canada",0.017832647462277064,0.3316228351507377,0.3944836433611291,0.27389352148813323,0.6947584789311412,0.26892771497088014,0.036313806097978726
"La Mitis CRM, Quebec, Canada",0.02896386981188413,0.4252512562814072,0.3391959798994974,0.23555276381909546,0.706224972697488,0.25919184564979997,0.03458318165271208
"Kings County, Prince Edward Island, Canada",0.03627098321342919,0.35200553250345795,0.3651452282157675,0.28284923928077454,0.7073170731707318,0.2544594102657443,0.03822351656352381
"Victoria County, New Brunswick, Canada",0.03367799113737077,0.4011264080100128,0.36608260325406733,0.23279098873591994,0.7339387823747058,0.22906155398587286,0.036999663639421414
"Skeena-Queen Charlotte Regional district, British Columbia, Canada",0.025254659887252905,0.25013265479636715,0.3180846900999571,0.4317826551036758,0.5913926274509806,0.272225882352941,0.1363814901960783
"La Matapédia CRM, Quebec, Canada",0.023816701839011117,0.42557251908396954,0.344147582697201,0.2302798982188294,0.7138240574506284,0.25206463195691203,0.03411131059245961
"L'Islet CRM, Quebec, Canada",0.01490806879429015,0.3723906875870737,0.39343770341365275,0.23417160899927353,0.6898988074531949,0.2803979021166142,0.029703290430190963
"Bonaventure CRM, Quebec, Canada",0.017452006980802803,0.3804755944931163,0.3635794743429286,0.2559449311639551,0.7047391749062394,0.2543470848960108,0.040913740197749744
"La Côte-de-Gaspé CRM, Quebec, Canada",0.01886792452830189,0.329923273657289,0.3695652173913043,0.3005115089514067,0.6395147313691507,0.3119584055459273,0.048526863084921996
"Inverness County, Nova Scotia, Canada",0.030860762859686187,0.3508757480668089,0.3725963568647584,0.27652789506843284,0.7009607665903941,0.24779165018547816,0.05124758322412784
"Le Rocher-Percé CRM, Quebec, Canada",0.02345353268836122,0.40533980582524265,0.35861650485436897,0.23604368932038838,0.7401601067378252,0.22281521014009345,0.03702468312208136
"Digby County, Nova Scotia, Canada",0.03315085158150852,0.4395951929158762,0.3668564199873495,0.19354838709677427,0.7697437697437697,0.1955071955071956,0.03474903474903476
"Les Etchemins CRM, Quebec, Canada",0.022310513447432755,0.3890374331550802,0.3723262032085559,0.2386363636363638,0.7022677395757133,0.2721287490855888,0.025603511338697878
"Division No. 10, Saskatchewan, Canada",0.03374777975133207,0.37271937445699393,0.3588184187662903,0.26846220677671584,0.6833734939759019,0.25975903614457996,0.05686746987951817
"Témiscamingue CRM, Quebec, Canada",0.02528576376861792,0.34618181818181826,0.3585454545454544,0.2952727272727273,0.6440542697525937,0.2920989624900239,0.06384676775738232
"Acton CRM, Quebec, Canada",0.027777777777777773,0.37142857142857144,0.38721804511278185,0.24135338345864657,0.7140555779299235,0.2605718888441402,0.025372533225936376
"Charlevoix-Est CRM, Quebec, Canada",0.016415868673050615,0.35137138621200914,0.38176426982950307,0.2668643439584878,0.6879774829111381,0.268596702854845,0.04342581423401692
"Division No. 19, Manitoba, Canada",0.04873646209386281,0.4421997755331088,0.3546576879910214,0.20314253647586977,0.8132498695878978,0.1653625456442358,0.021387584767866487
"La Tuque Territory, Quebec, Canada",0.0314273243125273,0.3816199376947042,0.3652647975077882,0.2531152647975076,0.678055190538765,0.27595269382391574,0.04599211563731928
"Pontiac CRM, Quebec, Canada",0.030192797380865794,0.3980660757453664,0.33924254633360185,0.2626913779210317,0.6974267968056789,0.24933451641526172,0.053238686779059394
