longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Bad River Reservation, USA",355.51485219454383,347.9637126597525,0.021700939667163004,402.7190807221441,-0.11721378694785213,142.84758768010283,165.4169744971716,-0.13643936413221405,164.0096764375192,-0.1290295134840915,20.16637347045724,19.762707255741187,0.020425653706871896,15.896037025218344,0.2686415764170781,7.559177336348532,7.354405723100187,0.027843393600812352,6.6913317587306596,0.12969698841871535
"Prairie Band of Potawatomi Nation Reservation, USA",441.0288604857011,276.5694709384836,0.5946404315312069,251.0770788183407,0.7565476807414758,110.27720056882465,69.20477294035334,0.5934912562153927,62.76926970458518,0.7568660761520555,12.556273692144641,10.385862203678508,0.20897749709190322,8.843319711532175,0.41985974743970533,9.185603079193845,9.004063603137977,0.02016194954382594,7.529520082349931,0.2199453588982337
"Quinault Reservation, USA",689.1174491752406,709.4186902009335,-0.028616727055700817,663.2341060506651,0.039025953111341126,260.0876573703944,243.05401391645762,0.07008172043516055,280.7721058586949,-0.07366988406857763,36.909706618200964,40.13530470445093,-0.08036809761387595,42.74397218889492,-0.13649329418686376,11.330575461750117,12.012312584710271,-0.056753195369548995,11.693485107999667,-0.03103519976275326
"Pueblo de Cochiti, USA",480.91021380511114,606.7697881827306,-0.2074255785782737,470.34248662930474,0.02246815347586329,211.46183937893565,278.53792296417106,-0.24081490545854164,207.5973845189497,0.01861514232918095,35.86037841525374,41.87751768533594,-0.1436842392448966,36.56976876983325,-0.01939827290252637,16.35020657464851,17.429585876953457,-0.06192799472832989,18.325057232985674,-0.10776777574164252
"Pala Reservation, USA",865.7246418974553,689.34732272622,0.2558613247001541,827.29297857564,0.04645471956982348,343.10701305536963,288.39647348581576,0.18970599365614194,356.9746202594537,-0.038847599848988945,96.61257888499745,80.73634861831718,0.1966429066755977,91.25364816346378,0.058725660062753315,33.74022332940922,28.47648169141009,0.18484522403576747,32.61779702768282,0.03441146870752163
"Waiehu Hawaiian Home Land, USA",5834.702828528503,5386.785956456078,0.08315104325531925,1968.3997240359606,1.9641859614596804,1523.8539085595612,1676.3776882902134,-0.09098413847670311,1001.4744322457075,0.5216103971246369,422.48607403300855,270.03833674002465,0.5645410912145806,537.058371024287,-0.21333304380446427,320.2337585358724,263.20829406137295,0.21665527174156107,327.86942799621227,-0.023288750973232103
"Hollywood Reservation, USA",1425.3425622139318,1450.1628307274668,-0.017115504540330843,2448.9306891282945,-0.4179734981714458,1824.6022685974272,1465.6112756284556,0.24494284326178908,1597.9876402404786,0.14181250383316207,2095.011092894195,1789.1334405168343,0.17096413573769015,1810.724721640411,0.1570014303423422,2167.3928022681735,1860.7258815299551,0.16481036985741598,1731.1639047164333,0.25198590171806695
"Red Cliff Reservation and Off-Reservation Trust Land, USA",758.8870691481079,735.4676053757652,0.03184295759753723,769.1500718440592,-0.01334330330535554,213.6183771886423,231.12869156859423,-0.07576002036404564,201.39862171619762,0.06067447417621481,64.19185089262574,51.44509924755145,0.24777387606421963,53.42674942155522,0.20149272766213427,24.714193268400116,21.75914157022269,0.13580736577500863,20.21732840412469,0.22242626594312964
"Hoolehua-Palaau Hawaiian Home Land, USA",338.5813467310632,305.59720032691484,0.10793340504711212,210.5758482986561,0.6078830951727148,90.81450755718333,97.60386299509285,-0.06956031482330637,98.71632756234025,-0.08004572496041093,37.90089095347395,42.653093601336295,-0.11141519281765447,36.27011319975979,0.044962025476252346,23.626420609064144,24.21467932254201,-0.024293475277628103,23.39006908441836,0.010104780956086733
"Duck Valley Reservation and Off-Reservation Trust Land, USA",261.46135822977067,180.7980699902163,0.4461512683399738,299.94504133538135,-0.12830244812275604,105.3629513244893,98.5744195432357,0.06886707335137875,117.18131819502122,-0.10085538422483845,16.615752268817328,15.972700115701938,0.04025945196850207,22.52533120068942,-0.26235258781416804,9.955004898032914,9.42924646180451,0.05575826640634737,11.877409431423668,-0.16185385748383077
"Kaupea Hawaiian Home Land, USA",6749.836651485265,5271.167652119113,0.2805201991197715,,,4038.7378212674507,3764.0219774659663,0.07298465456528232,,,1831.3892987024776,1256.067334537911,0.4580343333076322,,,1227.2674840916677,876.2305943476999,0.4006215852406903,,
"Hualapai Indian Reservation and Off-Reservation Trust Land, USA",655.846767678994,681.1783877458786,-0.03718793861136839,1070.804808663286,-0.38751977729937087,354.36540323774216,334.6865125677962,0.058797979395598284,336.37520735177355,0.053482526335999744,42.362904636992866,41.55577290144431,0.019422854616680862,30.218677289857958,0.40187819045312,15.895768407851742,15.885898642805587,0.0006212909491666924,8.763241143648456,0.8139142980645807
"San Pasqual Reservation and Off-Reservation Trust Land, USA",616.5687559150591,774.3466595493055,-0.20375616229309773,520.0629957832384,0.18556551978184613,243.9436738138536,231.0439178221508,0.055832484634512444,177.01904748694037,0.3780645488551203,134.86532973958913,116.35128169930807,0.15912199478926028,74.4784585593894,0.8107964685123957,97.58279870975794,80.36821405049115,0.2141964315450853,53.67154466767448,0.8181477599345209
"Tule River Reservation and Off-Reservation Trust Land, USA",1965.1403223602376,1019.8102559053028,0.9269666204874056,543.0389153693786,2.6187836023198012,500.3566576983884,266.42264376445473,0.8780560489473845,139.42197968833202,2.5887932363096575,33.4791335470615,23.946901830677643,0.3980569922482585,14.343628351797845,1.334077035875319,9.24508782728787,9.274777066775021,-0.003201073111881781,3.922740528684804,1.3567931041280252
"Morongo Reservation and Off-Reservation Trust Land, USA",316.7344699168537,248.4392972787292,0.27489681940897903,327.55365911533517,-0.03303028037513669,151.54623565964047,109.77611965270299,0.38050275541789014,137.60408517403127,0.10132075997581194,67.54347564573581,49.74533304253378,0.35778517329422793,40.55447966671884,0.6654997475202615,87.55672958585174,87.68870821575865,-0.0015050812424123809,72.36065290020777,0.2100046928349418
"Waiohuli (Residential) Hawaiian Home Land, USA",1444.399024919529,1031.029234869005,0.4009292618196648,190.00651667586274,6.6018394010325885,361.7989103116128,296.1075084114298,0.2218498350568921,47.501629168965685,6.616557929511762,88.35444378201305,89.9920305618761,-0.01819701999875529,14.474529939811376,5.104132165217964,53.347868748284604,40.3862687056791,0.32094076670130334,13.785266609344168,2.8699192594594742
"Yurok Reservation, USA",427.1327223535502,472.9578680920332,-0.09689054528968287,282.7348169239626,0.5107185135547748,110.31240282160975,130.5996060894092,-0.15533893152718029,84.00745125807526,0.31312640926010604,16.85658160820824,15.223266183211532,0.10729073546634536,12.94491242131817,0.3021781113364805,7.097235264669716,7.378685224096364,-0.03814364631079865,6.579233992573685,0.07873276321844234
"Yavapai-Apache Nation Reservation, USA",759.5276285822107,677.3344015495117,0.12134807688000017,813.3500936155183,-0.06617379828906765,302.113742639457,327.4432384938578,-0.0773553791213067,318.4535636737011,-0.0513099016564516,153.56614117007237,134.59880533295163,0.14091756453708493,110.84499326029771,0.3854134197063139,87.36792222115989,79.8507752452594,0.09413993731196452,67.21903545972103,0.2997497155922815
"Tesuque Pueblo and Off-Reservation Trust Land, USA",931.8984593525734,658.0210972241523,0.4162136492032957,706.606875084637,0.31883582259364673,387.5923530732673,264.9594839044537,0.4628363075051728,184.35592380797485,1.1024133375664324,51.15766316991585,32.347816382450375,0.5814873735239315,27.91086019687552,0.832894536716668,32.88723878311447,26.96779737794192,0.2195003663893702,18.645268157872078,0.7638383371402141
"Ysleta del Sur Pueblo and Off-Reservation Trust Land, USA",1562.4030097095847,2188.7754423546226,-0.2861748265830341,2306.479329915269,-0.3226026396833214,991.6209210937186,1196.8872626145153,-0.17150014703340308,1748.2978923250241,-0.4328078038377184,627.6056359771354,755.4003759319031,-0.1691748429395645,1006.4412427050133,-0.3764110517864719,528.9606954975369,630.7022196509892,-0.16131467590165263,727.0013132809944,-0.2724075103656828
"Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land, USA",871.3540386080294,786.1975458541572,0.10831437111820894,261.43851985228673,2.3329214038556603,468.1897858447043,348.0660072078159,0.3451178114189342,151.44778031578565,2.091427189414569,275.7289862037449,248.02736991762757,0.11168773952373616,97.18441040991175,1.837173009958638,436.55135612103294,345.330165790039,0.2641564490096022,158.57744204395638,1.7529221716164674
"Fort McDowell Yavapai Nation Reservation, USA",348.10722830710665,433.55183327812074,-0.1970804836066785,321.4002734282935,0.08309561965811979,101.65579892930668,126.03235720105064,-0.19341507858063572,99.68662134592755,0.019753679649205817,101.49249932623843,104.6280662087321,-0.02996869765554334,106.74496923777063,-0.04920578411365234,171.05015176285713,165.21000191678212,0.03534985641496904,154.02859424452384,0.11050907529098901
"Sac and Fox/Meskwaki Settlement and Off-Reservation Trust Land, USA",249.59919888432938,305.83613588864745,-0.1838793079206098,277.82814431575383,-0.10160578044009118,91.7650620621246,104.63019368679159,-0.12295811726372698,87.7916855231248,0.04525914402171027,38.60786417088454,42.988955180398264,-0.10191201417036014,35.775416518707274,0.07917301677525275,26.537894135565587,26.635252056866953,-0.0036552280824489573,21.798969406362513,0.21739214551215955
"Tuscarora Nation Reservation, USA",495.0221909978026,532.3556007598241,-0.07012870665535599,625.4321079257656,-0.20851170778626185,126.99369059160682,140.28402990890214,-0.09473879048046896,178.3299971233116,-0.28787252486863874,63.4361023175229,65.43402660964719,-0.030533415038678468,62.72692463158683,0.011305793964892629,80.36530588924634,80.30584372854173,0.000740446248290628,81.64851160339447,-0.01571621685378985
"Rincon Reservation and Off-Reservation Trust Land, USA",599.5132697633909,929.3067012535962,-0.3548811506958119,760.2134330578601,-0.21138821850078818,185.70809217278318,301.0489889084641,-0.3831299920783028,284.6563339361586,-0.34760597241994645,62.15000527738513,74.5495716570209,-0.16632646042129226,82.59188745973935,-0.2475047224501187,57.38573112532524,60.23733479960277,-0.04733947283299014,55.58161690108905,0.03245882946238732
