longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %,geoid
"East Carroll Parish, Louisiana, USA",0.0,0.6467354873307414,6.761773322586853,0.47311972114224426,5.670335748666594,0.0,79.16131441775354,0.0,100.34055382750103,0.08735677529435526,0.40558050869838047,0.9277248232566614,1.0,22035
"Worth County, Iowa, USA",0.010250467229648001,0.0,21.738127908464634,0.45949214026602175,5.488399323522924,0.0,85.2590147485852,0.0,26.6491755324035,0.19577388395960948,0.25751240025295397,0.9187774540881806,1.0,19195
"Lake County, Colorado, USA",0.0013018072025196257,0.9328940290478752,3.083043886281178,0.6436256051640667,2.594320076888812,0.0,48.62053204473201,0.9334319526627219,4.808415921284721,0.19905791437730092,0.5477343712630126,0.963203936002484,1.0,08065
"Hutchinson County, South Dakota, USA",0.0008941163894175299,0.5690049818230779,8.563061928325268,0.6745657735290157,2.791850625435088,0.0,86.38808568608151,0.0,133.65623034026595,0.2582936154234108,0.4571108000647507,0.9113375922254598,1.0,46067
"Chariton County, Missouri, USA",0.007005200202140677,0.00458963282937365,30.06825755889775,0.4419546436285097,4.914865043130121,0.0,75.69336491170185,0.0,123.58048627908389,0.1530798314778572,0.31408167515384566,0.9096655708239304,1.0,29041
"Gilmer County, West Virginia, USA",0.0005951576312942171,0.008234341252699784,22.259387392544813,0.2072084233261339,5.453095925989778,0.0,63.96203397525076,0.0,74.60442442607122,0.1373418240585118,0.18387372189894569,0.9347325019307793,1.0,54021
"Wallowa County, Oregon, USA",0.0024881984216577227,0.5433635502638344,11.669700283620918,0.6089838993370316,3.641023916582316,0.0,103.1976550276239,0.0,162.59653023135905,0.3457266347560868,0.4808476793742523,0.7493748826315647,0.9612914428896636,41063
"Lee County, Kentucky, USA",0.0014281792442219982,0.0,25.0486630490429,0.2651843817787419,4.784345128993531,0.0,93.70942697756962,0.0,75.48717897223479,0.05827687908116508,0.16097447733127934,0.9997687473443836,1.0,21129
"Castro County, Texas, USA",0.011138356730924923,0.6281372948039615,8.990538055121007,0.7247320580653914,2.7059504971506487,0.0,90.44605516923149,0.0,46.89469372674666,0.3225129226917691,0.6561065715345324,0.9038991156366243,1.0,48069
"Grant County, Kansas, USA",0.0,0.8952665941240479,2.9520615219140725,0.7596572361262242,2.62292778942816,0.0,66.6747420570362,0.0,130.43565190029236,0.26321742685059646,0.6442220992175819,0.9476693001834982,1.0,20067
"Elliott County, Kentucky, USA",0.004034241731610463,0.0,25.382710841641014,0.2724180160566063,4.937430538625523,0.0,55.52275773171933,0.0,42.974440383072164,0.04974752076229216,0.11331557565679418,1.0,1.0,21063
"Rappahannock County, Virginia, USA",0.00017584772385993117,0.04940119760479042,19.34032006954248,0.017691888949373978,9.404582878341733,0.0,59.493649498922544,0.04109961894393032,21.76625550260191,0.032651225556713515,0.0638930732040417,0.7981958689739217,1.0,51157
"Pepin County, Wisconsin, USA",0.0021019743233492163,0.6951352828641706,7.40018665241876,0.3740092921563269,4.4091156836947345,0.04236130090188576,49.50556896139793,0.0,48.32717277212288,0.06022945659921919,0.22941341772441237,1.0,1.0,55091
"Pierce County, Nebraska, USA",0.005353697766263603,0.4792947929479295,10.451676326327394,0.5783791171245046,3.425908478346195,0.0,101.2167099304342,0.0,33.51892950841429,0.12651285667154444,0.17504765796558597,0.5353071842212531,1.0,31139
