longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"Carrollton-Farmers Branch Independent School District, Texas, USA",1.0,1.0
"Chino Valley Unified School District, California, USA",1.0,1.0
"Rutherford County School District, Tennessee, USA",0.8027457913262299,1.0
"Santa Rosa County School District, Florida, USA",0.6405053191489362,1.0
"Ysleta Independent School District, Texas, USA",0.864416253653239,1.0
"Rockford School District 205, Illinois, USA",0.9765901320049014,1.0
"Charlotte County School District, Florida, USA",0.8454638386238714,1.0
"Desert Sands Unified School District, California, USA",0.9826840754571414,1.0
"Lubbock Independent School District, Texas, USA",1.0,1.0
"Newport News City Public Schools, Virginia, USA",1.0,1.0
"Hayward Unified School District, California, USA",1.0,1.0
"DeSoto County School District, Mississippi, USA",0.7806371887714906,1.0
"Beaufort County School District, South Carolina, USA",0.5790975257876791,1.0
"Salinas Union High School District, California, USA",0.9658592213070454,1.0
"Keller Independent School District, Texas, USA",1.0,1.0
"Mesquite Independent School District, Texas, USA",0.9697272519904848,1.0
"United Independent School District, Texas, USA",0.8533162918445598,1.0
"Victor Valley Union High School District, California, USA",0.7415596170203486,1.0
"San Dieguito Union High School District, California, USA",0.9892050816300927,1.0
"Spring Branch Independent School District, Texas, USA",1.0,1.0
"Fontana Unified School District, California, USA",0.9962278982678902,1.0
"Moreno Valley Unified School District, California, USA",1.0,1.0
"Merced Union High School District, California, USA",0.6176790396025942,1.0
"Akron City School District, Ohio, USA",1.0,1.0
"Little Rock School District, Arkansas, USA",1.0,1.0
"Kanawha County School District, West Virginia, USA",0.7100932862660042,1.0
"Washington School District, Utah, USA",0.7047576256801957,1.0
"Evansville-Vanderburgh School Corporation, Indiana, USA",0.9018463827330462,1.0
"Twin Rivers Unified School District, California, USA",0.916497975708502,1.0
"Kent School District, Washington, USA",0.8535266732299889,1.0
"Lodi Unified School District, California, USA",0.9144570777581701,1.0
"Edmonds School District, Washington, USA",0.9981403631363621,1.0
"Ann Arbor Public Schools, Michigan, USA",0.9837362538003368,1.0
"Christina School District, Delaware, USA",0.9948213715380755,1.0
"Bay County School District, Florida, USA",0.6161309469454844,1.0
"Palm Springs Unified School District, California, USA",0.7157880305947002,1.0
"Weber School District, Utah, USA",0.5512202091787164,1.0
"Mansfield Independent School District, Texas, USA",0.9995655752698006,1.0
"Escondido Union High School District, California, USA",0.9817059907728589,1.0
