longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Historical Congressional District TX-1, 50th Congress, USA",6539492.0,1740.9846407327602,155.70201009361335,,,,42000.04865748512,0.18434386304990616
"Historical Congressional District TX-1, 51st-52nd Congress, USA",6539492.0,1740.9846407327602,155.70201009361335,,,,42000.04865748512,0.18434386304990616
"Historical Congressional District TX-8, 58th-61st Congress, USA",6396127.0,1849.6503547769728,306.48167201007084,,,,20869.525273895746,0.1643801407864607
"Historical Congressional District TX-8, 62nd Congress, USA",6396127.0,1849.6503547769728,306.48167201007084,,,,20869.525273895746,0.1643801407864607
"Historical Congressional District TX-8, 63rd Congress, USA",6396127.0,1849.6503547769728,306.48167201007084,,,,20869.525273895746,0.1643801407864607
"Historical Congressional District TX-8, 64th-65th Congress, USA",6396127.0,1849.6503547769728,306.48167201007084,,,,20869.525273895746,0.1643801407864607
"Historical Congressional District CA-2, 39th Congress, USA",6079117.0,2481.086404943763,132.56527612721024,,,,45857.53658572288,0.14818076414908246
"Historical Congressional District CA-2, 40th-42nd Congress, USA",6078284.0,2481.396519012539,136.4870715437394,,,,44533.77108360127,0.14459022617713327
"Historical Congressional District CA-2, 43rd-47th Congress, USA",6050733.0,2490.40864251298,182.42908078285416,,,,33167.590244025865,0.1618205844418586
"Historical Congressional District CA-2, 48th Congress, USA",6050733.0,2490.40864251298,182.42908078285416,,,,33167.590244025865,0.1618205844418586
"Historical Congressional District FL-1, 75th-77th Congress, USA",5873327.0,1098.3714670105655,189.53860295881168,,,,30987.497577347465,0.018342549657847568
"Historical Congressional District FL-1, 78th Congress, USA",5873327.0,1098.3714670105655,189.53860295881168,,,,30987.497577347465,0.018342549657847568
"Historical Congressional District NY-1, 38th-42nd Congress, USA",5816113.0,7280.992106160175,1611.1081913857215,,,,3610.00771462625,0.008476751601996417
"Historical Congressional District NY-1, 43rd Congress, USA",5816113.0,7280.992106160175,1611.1081913857215,,,,3610.00771462625,0.008476751601996417
"Historical Congressional District NY-1, 44th-47th Congress, USA",5816113.0,7280.992106160175,1611.1081913857215,,,,3610.00771462625,0.008476751601996417
"Historical Congressional District NY-1, 48th Congress, USA",5816113.0,7280.992106160175,1611.1081913857215,,,,3610.00771462625,0.008476751601996417
"Historical Congressional District NY-1, 49th-52nd Congress, USA",5816113.0,7280.992106160175,1611.1081913857215,,,,3610.00771462625,0.008476751601996417
"Historical Congressional District CA-22, 78th-82nd Congress, USA",5784499.0,2558.3225028937886,177.48873285275522,,,,32590.795522771718,0.2851618020376744
"Historical Congressional District TX-8, 66th-72nd Congress, USA",5639930.0,1997.9416740569104,548.4761181820771,,,,10282.908978231424,0.14039724874019055
"Historical Congressional District TX-8, 73rd Congress, USA",5639930.0,1997.9416740569104,548.4761181820771,,,,10282.908978231424,0.14039724874019055
"Historical Congressional District TX-1, 53rd-54th Congress, USA",5622704.0,1897.819307692759,248.06249950043002,,,,22666.481275176593,0.10237285181218023
"Historical Congressional District TX-1, 55th-57th Congress, USA",5622704.0,1897.819307692759,248.06249950043002,,,,22666.481275176593,0.10237285181218023
"Historical Congressional District NY-6, 1st-2nd Congress, USA",5559181.0,1069.5557781262742,62.866475436171015,,,,88428.38669465881,0.14109853232314212
"Historical Congressional District FL-6, 83rd-87th Congress, USA",5491647.0,1603.524319021726,179.28360005955747,,,,30631.061615093022,0.023869260127352594
