longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Circle ANVSA, USA",91.0,7.957747154594767,0.3296525478264894,,,,276.0482228940554,0.11130082628283124
"Crooked Creek ANVSA, USA",90.0,11.699656705510883,0.32352841555489165,,,,278.1826747602332,0.33732966077067333
"Tatitlek ANVSA, USA",90.0,13.630736681692547,4.704463471136496,,,,19.130768163507064,0.21640930580708573
"Nikolai ANVSA, USA",89.0,28.32957987035737,7.309961837112873,,,,12.17516616135321,0.49494687804849197
"Perryville ANVSA, USA",88.0,15.857619784428845,3.02221696386757,,,,29.11769772061145,0.3274095457910123
"Hughes ANVSA, USA",86.0,21.81533103682863,6.833129767133107,,,,12.58574078508712,0.2594045005098256
"Inalik ANVSA, USA",83.0,26.419720553254624,13.107244079982648,,,,6.33237616492985,0.39558332732711304
"Chitina ANVSA, USA",78.0,14.976888234545022,0.2521534234409711,,,,309.3354789143275,0.26073735906913104
"Chignik Lagoon ANVSA, USA",72.0,16.13654284126161,2.1050562274987716,,,,34.203361914731566,0.30742671217871564
"Anvik ANVSA, USA",70.0,19.325957375444435,2.2683069985536988,,,,30.86002029030148,0.558160419509533
"Oscarville ANVSA, USA",70.0,20.453683829352723,9.735871750495104,,,,7.189905721225246,0.13076206679480423
"Pilot Point ANVSA, USA",70.0,11.468250470793146,3.205231975321773,,,,21.8392929244919,0.16504458062718383
"Levelock ANVSA, USA",69.0,11.500674583423045,1.5920940051056753,,,,43.33914943384271,0.3038165935257734
"Igiugig ANVSA, USA",68.0,7.630075212934982,1.187826325410008,,,,57.24742628222867,0.20058006625128405
"Clarks Point ANVSA, USA",67.0,11.064831715254456,8.017991740755393,,,,8.35620716088288,0.4743756460950796
"South Naknek ANVSA, USA",67.0,4.632121478047701,0.28820301794662856,,,,232.47501180715437,0.19161259985622517
"St. George ANVSA, USA",67.0,11.064831715254456,0.7480637961926546,,,,89.56455363968045,0.19542657147674147
"Chignik Lake ANVSA, USA",65.0,15.558007821629278,1.2973871978001037,,,,50.10069477347729,0.2465759987840879
"Akhiok ANVSA, USA",63.0,10.049497835231106,2.533482605063018,,,,24.866955815721074,0.3506168753640499
"Eklutna ANVSA, USA",62.0,16.285144499596516,5.474866951987574,,,,11.324476109413357,0.07204321903793781
"Chenega ANVSA, USA",59.0,18.78028328484365,0.7600677540042917,,,,77.6246587086062,0.08104464102527488
"Rampart ANVSA, USA",57.0,15.675365798559659,3.1296276108522427,,,,18.21302949985097,0.24549926056020177
"Stony River ANVSA, USA",57.0,18.14366351247607,4.816244894459825,,,,11.834946363621933,0.10910845838931048
"Chalkyitsik ANVSA, USA",56.0,10.833904340469733,2.463851174666797,,,,22.728645535002027,0.1479690599160143
"Takotna ANVSA, USA",56.0,11.822938629683653,0.9235511519163769,,,,60.63551529744671,0.10521069882098406
"Platinum ANVSA, USA",55.0,15.145763129872368,0.8186417809067157,,,,67.18445269075175,0.12448498777212434
"Eagle ANVSA, USA",54.0,7.674805033542509,1.227170518917287,,,,44.00366466401372,0.3408351508399579
"Atka ANVSA, USA",53.0,14.51613197936268,2.689921810353163,,,,19.703174938397773,0.20500333422651296
"Chistochina ANVSA, USA",50.0,3.577803120705807,0.7202618961691614,,,,69.41919358213134,0.10995148782691644
"Beaver ANVSA, USA",48.0,8.965728460843438,0.8804781743627496,,,,54.51583173511398,0.13814732021475928
"Pedro Bay ANVSA, USA",43.0,4.71542784881569,0.7138953464058176,,,,60.23291819520619,0.18310051139819059
"Nelson Lagoon ANVSA, USA",41.0,7.647200924171557,3.5227921347800986,,,,11.638495384161894,0.038999859473367544
"Egegik ANVSA, USA",39.0,6.129505757026329,0.4059978161687015,,,,96.05962999513918,0.08542800994719932
"Nikolski ANVSA, USA",39.0,6.537595354697855,0.7786280610579791,,,,50.08809976230222,0.0949138363633814
"Waccamaw SDTSA, USA",39.0,45.6325788116301,11.706300287169116,,,,3.331539345761239,0.5051516273077724
"Stevens Village ANVSA, USA",37.0,6.099505656873178,1.090954897979825,,,,33.91524257191084,0.2139333417551465
"Birch Creek ANVSA, USA",35.0,5.793239928544991,1.6329589435585734,,,,21.43348437391045,0.16364598881477305
"Evansville ANVSA, USA",35.0,3.992515429562403,2.2135542988202186,,,,15.81167447243301,0.21272491757231152
"Larsen Bay ANVSA, USA",34.0,6.104060170347985,2.238231745409058,,,,15.190562849329162,0.26055195950303317
"Kasaan ANVSA, USA",30.0,3.7136153388108912,1.92192484645979,,,,15.609351247662145,0.3024114022980801
"Ione Band of Miwok TDSA, USA",27.0,12.803130977614693,4.96477315911175,,,,5.438314930954586,0.5364783842601593
"Karluk ANVSA, USA",27.0,6.425143998895034,0.41825568854251965,,,,64.55381418501662,0.16577610254681505
"Healy Lake ANVSA, USA",24.0,7.639437268410976,0.16648089085825207,,,,144.16068941170238,0.21779335303753178
"Dot Lake ANVSA, USA",23.0,3.6674834712480235,2.0357483173526645,,,,11.298056741075806,0.22486177496370294
"Red Devil ANVSA, USA",22.0,5.295519015603063,0.30537505186819114,,,,72.04255837341896,0.22970013420685004
"Lake Minchumina ANVSA, USA",16.0,3.0239439187460113,1.454576247176838,,,,10.999767135654885,0.22611327497489103
"Alatna ANVSA, USA",15.0,4.7746482927568605,0.31449229168292103,,,,47.695922592352034,0.20274273245677152
"Lime Village ANVSA, USA",13.0,3.060671982536449,0.06374957179937102,,,,203.92293835185043,0.1494020705991582
"Portage Creek ANVSA, USA",4.0,1.2732395447351628,0.11739442578045158,,,,34.07316806916123,0.33348811233558723
"Ugashik ANVSA, USA",4.0,1.2732395447351628,0.016011241136832954,,,,249.82448055186845,0.14611775952931114
