longname,Silent % [StatCan],Boomer % [StatCan],Gen X % [StatCan],Millennial % [StatCan],Gen Z % [StatCan],Gen Alpha % [StatCan]
"Kingston CMA, ON, Canada",0.0946098756125143,0.26457711154281066,0.17518629128127788,0.20046971498158844,0.17260575835773753,0.09255124822407139
"Greater Sudbury / Grand Sudbury CMA, ON, Canada",0.08862022419156056,0.2663301836962263,0.18692411526498018,0.18783379306297338,0.1705205704560128,0.09977111332824691
"Guelph CMA, ON, Canada",0.07543981411629819,0.22432783125622335,0.1930052204351369,0.2141283683877004,0.18654757234678165,0.10655119345785932
"Trois-Rivières CMA, QC, Canada",0.11520965495899753,0.2958378462014545,0.16527928206715153,0.17499613182732474,0.1540461086182886,0.09463097632678312
"Saguenay CMA, QC, Canada",0.10184179132084656,0.30475220492047844,0.16942871867116724,0.1747114830362323,0.14974017332248352,0.099525628728792
"Moncton CMA, NB, Canada",0.0802905814801891,0.24997620784823774,0.2031849760492337,0.19902928020810215,0.16870221742854427,0.09881673698569295
"Brantford CMA, ON, Canada",0.08077791283208875,0.25292585518319155,0.18652543844417446,0.1931238062163571,0.17548185448862633,0.11116513283556179
"Saint John CMA, NB, Canada",0.08010168349402083,0.2820747524052764,0.1949039799988297,0.17803198801067224,0.16763247368118273,0.09725512241001816
"Peterborough CMA, ON, Canada",0.10897585216243497,0.2854258871030357,0.16224085720941098,0.18409814426585908,0.1629784921189532,0.09628076714030596
"Lethbridge CMA, AB, Canada",0.07410995398401543,0.21748607410995408,0.17074352143376165,0.2128844756599658,0.2001291676757889,0.12464680713651417
"Thunder Bay CMA, ON, Canada",0.09269241681189988,0.28123860089976904,0.17521176995095847,0.19324767964981948,0.164187573460868,0.09342195922668498
"Nanaimo CMA, BC, Canada",0.10359401408752437,0.2853478119071352,0.17731185563589208,0.18962201506273954,0.15436119792852462,0.08976310537818413
"Kamloops CMA, BC, Canada",0.09026284610996554,0.264864627671245,0.18004300320329988,0.2037386458379043,0.16569397516345566,0.0953969020141295
"Chilliwack CMA, BC, Canada",0.09238078479676243,0.260425831427063,0.1770631708604612,0.18449762449410512,0.1692327995776878,0.1163997888439205
"Belleville - Quinte West CMA, ON, Canada",0.09771019838949115,0.2913761302802643,0.17189257276530662,0.18205947186108254,0.15659723784245816,0.10036438886139731
"Fredericton CMA, NB, Canada",0.07665409036532622,0.2481825710867766,0.19315358424588186,0.1987669089905218,0.18132879359528833,0.10191405171620513
"Chatham-Kent CMA, ON, Canada",0.0996923668525286,0.29806767929244365,0.17083253220534506,0.16391078638723316,0.16482407229378995,0.10267256296865963
"Drummondville CMA, QC, Canada",0.09202877130751809,0.2762341117351464,0.18725982855453768,0.17287417479554626,0.16390777416494218,0.10769533944230944
"Red Deer CMA, AB, Canada",0.059147248388696054,0.22161626177491328,0.19766980664352993,0.2170054536440258,0.1875061973227566,0.11705503222607838
"Cape Breton CMA, NS, Canada",0.1053032999440687,0.3225199572888593,0.17242080642700983,0.15945492449280538,0.15630243555193973,0.08399857629531703
"Sarnia CMA, ON, Canada",0.10261528225600088,0.29474384564204925,0.16781820973437764,0.17938482010338297,0.15712165412764206,0.09831618813654734
"Granby CMA, QC, Canada",0.10131723380900125,0.3063117453347973,0.17854006586169027,0.16141602634467608,0.15087815587266729,0.1015367727771678
"Prince George CMA, BC, Canada",0.060702696654358276,0.2428107866174327,0.19061206221327087,0.21371824997202665,0.18535302674275486,0.10680317780015658
"Kawartha Lakes CMA, ON, Canada",0.11874566218688895,0.3408416934822383,0.15881128146886223,0.15925294971291562,0.13546595999747643,0.08688245315161833
"Charlottetown CMA, PE, Canada",0.07620983106820778,0.2500952622888354,0.18728565985012083,0.19262034802489514,0.19547821668995288,0.0983106820779881
"Sault Ste. Marie CMA, ON, Canada",0.11082910321488998,0.29584797605102153,0.1723285175061825,0.17310946244956404,0.1543017050631264,0.09358323571521551
"Medicine Hat CMA, AB, Canada",0.08275997641045829,0.2596815411834086,0.18701264661555606,0.18340868881462566,0.1773147238057789,0.10982242317017256
"Wood Buffalo CMA, AB, Canada",0.008660937817173016,0.13958995872521818,0.23025915149874818,0.2829014141687531,0.17660193517829356,0.1619866026118141
"North Bay CMA, ON, Canada",0.09664831719043963,0.2901539962371961,0.17608529022367764,0.18235663019998616,0.1615218451675842,0.09323392098111623
"Vernon CMA, BC, Canada",0.12669750783465167,0.3164453066706462,0.17310849126995956,0.155946873600955,0.14147142217579475,0.0863303984479928
"Norfolk CMA, ON, Canada",0.10307966096112206,0.32200848708120305,0.16329757387508576,0.16013903720177727,0.15046531213011796,0.10100992875069398
"Grande Prairie CMA, AB, Canada",0.03429462197973497,0.15939204988308633,0.19368667186282154,0.271473109898675,0.19337490257209675,0.14777864380358524
