longname,PW Density (r=250m),PW Density (250m) [StatCan],PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (500m) [StatCan],PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (2km) [StatCan],PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (4km) [StatCan],PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Barishal, Bangladesh",,,,,,,,,,,,,,,2495.5842,,,,,,,1539.2314,,,,
"Niedersachsen, Germany",,,,,,,,,,,,,,,988.5386,,,,,,,705.8605,,,,
"Ciudad de México, Mexico",,,,,,,,,,,,,,,10942.206,,,,,,,10358.778,,,,
"Región Metropolitana de Santiago, Chile",,,,,,,,,,,,,,,8606.38,,,,,,,7563.7305,,,,
"Aiti, Japan",,,,,,,,,,,,,,,4278.783,,,,,,,4100.2427,,,,
"Riau, Indonesia",,,,,,,,,,,,,,,2758.9194,,,,,,,1688.0486,,,,
"Washington, USA",2744.3081886013097,,2338.691486852113,0.1734374559575441,2493.6082547031747,0.10053701635984395,1933.0507216173394,,1633.6591530088454,0.18326440252673257,1565.475363026958,0.23480111362445744,1320.6596735403195,,1213.9635,1099.6469682357706,0.20098514494986772,1017.7266326499496,0.2976565918311433,1033.4599189632788,,985.722,866.0217068864763,0.19334181896984645,795.4930748914088,0.29914382863025474
"Jakarta Raya, Indonesia",,,,,,,,,,,,,,,16566.012,,,,,,,16833.346,,,,
"Himāchal Pradesh, India",,,,,,,,,,,,,,,1018.907,,,,,,,630.8638,,,,
"Casablanca-Settat, Morocco",,,,,,,,,,,,,,,12382.437,,,,,,,9361.003,,,,
"Hà Nội, Vietnam",,,,,,,,,,,,,,,9098.674,,,,,,,8145.5137,,,,
"Bauchi, Nigeria",,,,,,,,,,,,,,,1978.3595,,,,,,,984.8624,,,,
"Al Kharţūm, Sudan",,,,,,,,,,,,,,,6396.702,,,,,,,5646.366,,,,
"Nord-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,,,,10238.658,,,,,,,6923.4976,,,,
"Goiás, Brazil",,,,,,,,,,,,,,,2678.2136,,,,,,,2108.5798,,,,
"Ad Daqahlīyah, Egypt",,,,,,,,,,,,,,,5947.633,,,,,,,4185.799,,,,
"Anambra, Nigeria",,,,,,,,,,,,,,,4591.9556,,,,,,,3710.6343,,,,
"Maranhão, Brazil",,,,,,,,,,,,,,,1917.2031,,,,,,,1316.2681,,,,
"Western Cape, South Africa",,,,,,,,,,,,,,,5378.858,,,,,,,4148.9966,,,,
"Madrid, Comunidad de, Spain",,,,,,,,,,,,,,,10195.715,,,,,,,8605.413,,,,
"Haut-Katanga, Democratic Republic of the Congo",,,,,,,,,,,,,,,5476.9844,,,,,,,3600.291,,,,
"Hong Kong, China",,,,,,,,,,,,,,,23520.188,,,,,,,16042.009,,,,
"Santa Catarina, Brazil",,,,,,,,,,,,,,,1643.5447,,,,,,,1155.3339,,,,
"Selangor, Malaysia",,,,,,,,,,,,,,,4842.4097,,,,,,,4363.734,,,,
"Saitama, Japan",,,,,,,,,,,,,,,4971.504,,,,,,,4841.4883,,,,
"Arizona, USA",2617.7971818687693,,2531.552713311938,0.03406781462749029,2795.655418989665,-0.06361951330367205,1896.9915148085367,,1776.6142752791518,0.06775654186977113,1882.00992094934,0.00796042236145042,1325.16759564676,,1470.9663,1221.4080380790792,0.08495077347850474,1299.6360520646542,0.019645148764183117,1127.3929096788213,,1318.5314,1035.5007299344043,0.08874178171775708,1115.9176443512274,0.01028325466998542
"Ningxia Zizhiiqu, China",,,,,,,,,,,,,,,4655.5483,,,,,,,2967.658,,,,
"Massachusetts, USA",3769.6360181498785,,3492.509553947045,0.0793488063302906,3529.9840466161027,0.06789038374366307,2902.4778366042647,,2643.837886825444,0.09782746176218067,2621.257675137706,0.10728443988315074,2049.9663586658785,,1808.7178,1839.6201405288155,0.11434220223126994,1788.2643479541634,0.14634414146382285,1679.4844901596603,,1521.9983,1506.3369893555298,0.11494605923353829,1451.9961973467196,0.15667278828184092
"Ashanti, Ghana",,,,,,,,,,,,,,,8173.847,,,,,,,7448.7065,,,,
"Sumalē, Ethiopia",,,,,,,,,,,,,,,3514.519,,,,,,,1248.5848,,,,
"Al Buḩayrah, Egypt",,,,,,,,,,,,,,,4661.949,,,,,,,2867.9558,,,,
"Tennessee, USA",1545.9294995101357,,1533.669714977531,0.007993757986402136,1568.5690257629844,-0.01443323556758138,836.6345539725595,,796.6382840755928,0.05020631156758656,809.6588864826549,0.03331732404876468,526.1913723442008,,516.77356,483.1372729380705,0.08911359528174723,486.26473168550865,0.08210885564391425,437.23493418925216,,443.19916,399.78966532654505,0.09366242329481456,396.9980037762689,0.10135297918439681
"Tigray, Ethiopia",,,,,,,,,,,,,,,2055.705,,,,,,,864.1105,,,,
"Indiana, USA",1622.5698795825112,,1596.8921167303708,0.016079835690287897,1674.4512913806461,-0.03098412719748734,1041.4973235190032,,1017.2516897912524,0.0238344492037425,1069.188303044161,-0.02589906702712419,655.7263147387454,,653.1783,628.8050877274696,0.042813309778663336,653.6522162429151,0.003173091812878528,523.6195882110057,,537.3427,493.96088831091225,0.060042607829763055,502.6346315857095,0.04174992192458569
"Akwa Ibom, Nigeria",,,,,,,,,,,,,,,3421.946,,,,,,,2305.2476,,,,
"Dar es Salaam, Tanzania",,,,,,,,,,,,,,,17327.707,,,,,,,15645.078,,,,
"Eastern Cape, South Africa",,,,,,,,,,,,,,,1319.4934,,,,,,,886.7814,,,,
"Shan, Myanmar",,,,,,,,,,,,,,,2464.212,,,,,,,1115.943,,,,
"Vlaamse Gewest, Belgium",,,,,,,,,,,,,,,1278.8805,,,,,,,1019.2298,,,,
"Victoria, Australia",,,,,,,,,,,,,,,2111.1262,,,,,,,1793.8508,,,,
"Ogun, Nigeria",,,,,,,,,,,,,,,4149.106,,,,,,,3524.2612,,,,
"Bāgmatī, Nepal",,,,,,,,,,,,,,,9352.144,,,,,,,8202.408,,,,
"Delta, Nigeria",,,,,,,,,,,,,,,4180.51,,,,,,,2633.7935,,,,
"Basnāhira paḷāta, Sri Lanka",,,,,,,,,,,,,,,4312.8433,,,,,,,3774.707,,,,
"Guanajuato, Mexico",,,,,,,,,,,,,,,3417.6199,,,,,,,2484.021,,,,
"Ayeyarwady, Myanmar",,,,,,,,,,,,,,,3749.3015,,,,,,,1323.333,,,,
"Al Qalyūbīyah, Egypt",,,,,,,,,,,,,,,20097.807,,,,,,,18646.775,,,,
"Qinghai Sheng, China",,,,,,,,,,,,,,,4437.353,,,,,,,2849.3677,,,,
"Puebla, Mexico",,,,,,,,,,,,,,,2424.7412,,,,,,,1965.9031,,,,
"Al Iskandariyah, Egypt",,,,,,,,,,,,,,,29591.967,,,,,,,21001.225,,,,
